Time;Herbivore_Male;Herbivore_Female;Predator_Male;Predator_Female;Deaths;HerbivoreDeaths;PredatorDeaths;Births;PredatorKills;TreesEaten;TreesSpawned;MaxGeneration;HerbivoreMale_Tezyzna;HerbivoreMale_Poped;HerbivoreMale_Zwin;HerbivoreMale_Atrak;HerbivoreMale_Perc;HerbivoreMale_Sila;HerbivoreFemale_Tezyzna;HerbivoreFemale_Poped;HerbivoreFemale_Zwin;HerbivoreFemale_Atrak;HerbivoreFemale_Perc;HerbivoreFemale_Sila;PredatorMale_Tezyzna;PredatorMale_Poped;PredatorMale_Zwin;PredatorMale_Atrak;PredatorMale_Perc;PredatorMale_Sila;PredatorFemale_Tezyzna;PredatorFemale_Poped;PredatorFemale_Zwin;PredatorFemale_Atrak;PredatorFemale_Perc;PredatorFemale_Sila
0.98;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
1.98;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
2.99;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
3.99;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
4.99;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
5.99;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
6.99;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
8.00;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
9.00;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
10.00;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
11.00;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
12.01;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
13.01;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
14.01;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
15.01;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
16.01;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
17.01;7;3;6;4;0;0;0;0;0;0;0;0;0.520;0.618;0.375;0.290;0.570;0.428;0.564;0.696;0.764;0.571;0.801;0.589;0.630;0.575;0.509;0.446;0.418;0.419;0.611;0.277;0.574;0.661;0.434;0.457
